1000_at	5595
1010_at	5600
1011_s_at	7531
1013_at	4090
1018_at	7480
1021_at	3458
1023_at	2056
1029_s_at	7294
1034_at	7078
1038_s_at	3459
1039_s_at	3091
1044_s_at	1875
1045_s_at	5970
1058_at	10810
1069_at	5743
1076_at	3552
1077_at	5896
1082_at	5335
1084_at	27
1085_s_at	5336
1086_at	1439
1091_at	5575
1093_at	5519
1095_s_at	3082
1100_at	3654
1104_s_at	3303
1109_s_at	5154
1111_at	4684
1113_at	650
1114_at	652
1125_s_at	960
1127_at	6195
1130_at	5604
1131_at	5605
1146_at	920
1156_at	6667
1157_s_at	3454
1158_s_at	801
115_at	7057
1163_at	5291
1165_at	3606
116_at	5576
1170_at	1435
1176_at	3690
1179_at	3312
117_at	3310
1185_at	3563
1200_at	2736
1203_at	3624
1207_at	1021
1209_at	7189
1214_s_at	3456
1217_g_at	5579
1235_at	7534
1238_at	5601
1244_at	6773
1249_at	2549
1253_at	2932
1262_s_at	7042
1263_at	3562
1266_s_at	3932
1269_at	5295
1280_i_at	2872
1288_s_at	1915
1322_at	1869
1325_at	4086
1326_at	843
1335_at	3480
1341_at	6688
1347_at	994
1368_at	3554
1369_s_at	3576
1370_at	3575
1377_at	4790
1380_at	2252
1383_at	5520
1384_at	5521
1394_at	387
1399_at	6921
1408_at	2249
1418_at	4843
1421_at	814
1424_s_at	7533
1433_g_at	4088
1434_at	5728
1437_at	5578
1440_s_at	355
1453_at	4087
1457_at	3716
1461_at	4792
1478_at	3702
1483_at	1002
1495_at	4052
1497_at	4055
1501_at	3479
1504_s_at	2257
1508_at	3680
1509_at	4325
1511_at	53358
151_s_at	203068
1520_s_at	3553
1525_s_at	2253
1537_at	1956
1539_at	4893
1542_at	1950
1543_at	5608
1545_g_at	2321
1548_s_at	3586
1563_s_at	7132
1564_at	207
1565_s_at	2885
1568_s_at	3455
1570_f_at	5925
1572_s_at	3643
1573_at	5155
1575_at	5243
1584_at	995
1585_at	2065
1590_s_at	3265
1593_at	2247
1595_at	7010
160022_at	1436
160023_at	7472
160025_at	7039
160026_at	5613
160032_at	3570
160038_s_at	3630
1602_at	5584
1607_at	1030
1608_at	4233
1612_s_at	3727
1615_at	598
1616_at	2254
1617_at	7706
1623_s_at	2241
1630_s_at	6850
1634_s_at	7040
1635_at	25
163_at	1855
1646_at	331
1654_at	673
1659_s_at	6009
1668_s_at	7428
1669_at	7474
1670_at	7027
1671_s_at	1432
1674_at	7525
1687_s_at	578
1693_s_at	7076
1697_s_at	5795
1700_at	27113
1703_g_at	1874
1704_at	7410
1706_at	369
1708_at	5602
1713_s_at	1029
1715_at	8743
1717_s_at	330
1718_at	10109
1728_at	648
1729_at	8717
1731_at	5156
1732_at	2250
1733_at	654
1734_at	7043
1738_at	993
1746_s_at	7186
1771_s_at	5159
1779_s_at	5292
1781_at	2002
1782_s_at	3925
1792_g_at	1017
1794_at	896
1797_at	1032
1802_s_at	2064
1814_at	7048
1818_at	23433
1825_at	8826
1827_s_at	4609
1831_at	653
1847_s_at	596
1848_at	5906
1851_s_at	356
1852_at	7124
1853_at	7471
1855_at	2248
1857_at	4092
1859_s_at	4193
1860_at	7159
1861_at	572
1862_at	472
1867_at	8837
186_at	5563
1886_at	7476
1892_s_at	4914
1894_f_at	4771
1895_at	3725
1896_s_at	4363
1903_at	5908
1907_at	5933
1911_s_at	1647
1912_s_at	324
1913_at	901
1915_s_at	2353
1917_at	5894
1919_at	7409
1920_s_at	900
1929_at	284
1935_at	4194
1938_at	6714
1939_at	7157
1940_at	3845
